id,title,created_at,last_posted_at,views,like_count,category_id
22040,Codecombat Would You Rathers,2020-06-05T02:34:09.315Z,2020-06-07T15:12:54.691Z,70,0,9
21977,Toil and Trouble soldiers die,2020-06-02T17:34:44.001Z,2020-06-07T14:24:44.974Z,77,1,28
20268,Why Python instead of Assembler?,2020-02-13T17:49:45.218Z,2020-06-07T14:04:23.885Z,137,8,28
22084,Cant understand function (JS),2020-06-07T09:27:47.186Z,2020-06-07T12:55:57.516Z,29,3,24
22085,How does mimic pet work?,2020-06-07T10:24:50.095Z,2020-06-07T10:30:38.535Z,24,2,24
3222,SARVEN DESERT: Help with Sarven Brawl using the Python Coding Language,2015-03-25T14:10:31.764Z,2020-06-07T09:44:25.975Z,5030,8,24
21292,Sword vs Hammer,2020-04-29T10:22:03.258Z,2020-06-06T18:02:30.304Z,132,0,9
18190,The Trials (Sarven desert one),2019-04-18T09:48:02.767Z,2020-06-06T18:00:10.418Z,227,2,24
22061,Random stuff(Anything),2020-06-06T12:52:58.410Z,2020-06-06T15:24:20.402Z,48,0,28
21526,Python Fair Battle Level Help,2020-05-12T16:27:56.898Z,2020-06-06T15:20:41.562Z,136,2,24
10829,"[SOLVED]The Trials lagging very hard, memory crashes",2017-03-09T04:07:39.618Z,2020-06-06T15:07:49.134Z,1420,1,9
22066,[SOLVED] Desert Combat (Help Please),2020-06-06T14:46:28.201Z,2020-06-06T15:05:10.718Z,37,3,24
18541,Ideas for New Weapons,2019-05-31T08:08:47.101Z,2020-06-06T14:22:09.990Z,3011,312,1
22062,PolygonCeption Help : Confused screaming,2020-06-06T13:10:22.378Z,2020-06-06T13:10:22.466Z,27,0,24
22024,"Kelvintaph Defliler, please help!",2020-06-04T13:11:17.312Z,2020-06-06T13:09:32.319Z,68,0,24
8909,"The new level ""Almost Perfect Minefield""",2016-09-09T09:58:14.727Z,2020-06-06T07:54:42.143Z,1115,2,1
14435,"© ?{SPOILERS FREE}[“Doritos included""]Editing Google, CodeCombat hero slots,CodeCombat map, Doritos and other stuff LOL [Also Some Movie Ratings + Some Songs]FORTNITE!/#wayToLongTopicDescription #TheTopicIsConfusingLOL.#IlluminatiConfirmed#OOF",2018-04-13T00:36:04.856Z,2020-06-06T06:54:55.840Z,12069,1571,28
21947,Library Tactitian,2020-06-01T11:10:03.389Z,2020-06-06T05:39:46.228Z,86,0,24
15248,[SOLVED] Hoarding Gold (Python),2018-07-18T15:40:53.173Z,2020-06-06T04:09:46.702Z,1772,2,24
19138,Basin Stampede *,2019-09-05T01:36:29.517Z,2020-06-06T01:43:07.261Z,700,0,24
15239,"[Solved] Operation ""Killdeer"" Help",2018-07-17T18:39:20.921Z,2020-05-12T20:54:53.600Z,2098,4,9
3724,[SOLVED] Help with Thunderhooves! (javascript),2015-04-30T10:54:58.517Z,2020-06-06T00:07:57.401Z,4360,1,24
22048,Who is your favorite hero in Codecombat?,2020-06-05T19:19:43.962Z,2020-06-05T21:52:52.078Z,48,0,28
8982,Quizet level doesn't finish,2016-09-17T03:17:19.068Z,2020-06-05T19:59:53.852Z,1114,1,9
1471,New Level: Munchkin Harvest,2014-11-26T19:15:24.112Z,2017-05-28T18:59:52.968Z,5735,1,1
21911,Surveys! Which is better?,2020-05-30T00:56:02.830Z,2020-06-05T19:12:54.787Z,382,0,28
22045,I miss the music,2020-06-05T18:14:40.854Z,2020-06-05T19:07:19.277Z,38,0,28
21789,All about types of units in codecombat,2020-05-25T05:06:00.936Z,2020-06-05T19:06:47.449Z,223,3,28
14846,[Adventurer] Pong Pong,2018-05-29T05:15:38.667Z,2020-06-05T17:24:32.970Z,4003,11,1
21653,Is my armor good?,2020-05-19T00:57:14.570Z,2020-06-05T16:14:15.905Z,467,0,28
22007,Help on game development 2 level 22,2020-06-03T22:43:54.448Z,2020-06-05T14:30:28.397Z,45,0,24
21538,Game Development 2 - Level 27 Help,2020-05-12T21:56:16.709Z,2020-06-05T14:11:44.176Z,54,0,24
22013,Games : Rhythm Heaven,2020-06-04T01:59:49.611Z,2020-06-05T12:48:18.533Z,68,0,28
22039,TypeError: Cannot read property 'findEnemies' of undefined,2020-06-05T02:31:47.746Z,2020-06-05T12:42:18.890Z,52,0,24
22004,Don't touch them help,2020-06-03T21:22:30.897Z,2020-06-05T10:43:53.310Z,66,0,9
9515,[Adventurer] Jailbreak,2016-11-02T21:14:18.702Z,2020-06-05T10:38:37.328Z,1640,6,1
21149,Can anyone Help me With Alpine Rally Please?,2020-04-22T19:10:12.286Z,2020-06-05T08:08:38.478Z,66,0,24
14171,Kelvintaph crusader help!,2018-03-15T22:18:52.376Z,2020-06-05T02:23:37.423Z,577,2,24
18995,Godmode+Admin in local servers!,2019-08-12T23:05:42.183Z,2020-06-05T01:49:05.993Z,983,2,3
22005,"Game Developement 1, Level 14, Character not Moving",2020-06-03T22:17:25.195Z,2020-06-05T01:22:24.665Z,50,0,24
22001,Found a bug in the forum,2020-06-03T19:26:10.672Z,2020-06-05T01:10:47.289Z,67,0,7
11870,[SOLVED] Backwoods Standoff help! First Post,2017-07-05T01:16:36.985Z,2020-06-05T01:09:22.713Z,14012,12,24
19326,[SOLVED] Help: the hunt begins,2019-10-02T20:58:12.170Z,2020-06-04T23:09:06.888Z,335,5,24
21972,"Help on game development 2, level 20",2020-06-02T16:27:44.929Z,2020-06-04T22:47:40.037Z,38,0,24
19269,What should i buy? with 1966 gems,2019-09-24T19:10:41.901Z,2020-06-04T22:03:27.651Z,779,0,9
10695,Salted earth please help,2017-02-24T02:13:27.372Z,2020-06-04T18:42:49.613Z,8560,9,9
22014,r/learnpython - Wanting to improve my python skills,2020-06-04T02:33:57.171Z,2020-06-04T14:38:02.260Z,41,0,24
21589,[SOLVED] Diamond Dozen Help!,2020-05-14T22:57:47.770Z,2020-06-04T14:24:31.860Z,90,4,24
22020,[SOLVED] Help - The Hunt Begins,2020-06-04T07:26:05.201Z,2020-06-04T11:55:04.485Z,36,1,24
21997,Kithgard dungeon help,2020-06-03T16:39:51.435Z,2020-06-04T08:53:55.810Z,47,6,24
22012,I need help on this (Cloudrop Commander),2020-06-04T00:58:43.305Z,2020-06-04T08:25:46.256Z,31,0,24
22018,For loop vs. While loop,2020-06-04T03:43:14.106Z,2020-06-04T03:43:14.181Z,26,0,9
21964,Antipodes Help (Cloudrip Mountain),2020-06-02T02:25:00.844Z,2020-06-04T03:35:55.055Z,52,2,24
12582,Can you help me pass the kithgard brawl 6,2017-09-30T00:09:42.260Z,2020-06-04T00:53:32.311Z,2171,22,24
22009,How does variable.trim(); work?,2020-06-03T23:39:37.502Z,2020-06-04T00:17:34.391Z,33,0,24
21965,Trojan Yeti - How does the function work?,2020-06-02T03:05:01.769Z,2020-06-03T23:14:41.568Z,45,2,24
21302,Web development 2 level 12 Issue (Help),2020-04-29T21:33:06.200Z,2020-06-03T22:13:11.766Z,81,0,24
22003,Strange console text,2020-06-03T20:44:39.640Z,2020-06-03T20:46:14.537Z,24,0,28
21993,Working as a programmer,2020-06-03T13:13:33.013Z,2020-06-03T20:21:29.826Z,51,1,9
14115,Hit and freeze HELP,2018-03-10T00:47:43.609Z,2020-06-03T19:06:05.201Z,4431,8,24
18702,[Adventurer] Rotten Forest,2019-06-19T08:29:28.247Z,2020-06-03T18:11:48.103Z,443,5,1
20481,Mountain Mercernaries Infinite Loop,2020-03-11T23:24:12.543Z,2020-06-03T17:27:05.099Z,87,0,24
21994,Equipment selling,2020-06-03T14:37:43.717Z,2020-06-03T17:04:33.817Z,33,0,28
21958,--Python vs Java--,2020-06-01T22:00:37.059Z,2020-06-03T15:56:15.036Z,105,2,9
21922,Codecombat surveys,2020-05-30T17:00:54.825Z,2020-06-03T12:21:36.095Z,95,0,9
21990,Web Dev 1 Campaign levels don't load,2020-06-03T02:15:44.189Z,2020-06-03T11:41:09.852Z,41,0,7
21928,General Off-Topic,2020-05-31T09:10:57.236Z,2020-06-03T00:01:57.077Z,73,0,28
19291,Backwoods brawl best strategy,2019-09-27T18:36:12.871Z,2020-06-03T04:14:11.813Z,207,0,9
21974,While is a problem,2020-06-02T16:57:21.601Z,2020-06-03T04:06:33.540Z,57,4,24
21865,I'm finally backk!,2020-05-28T01:59:54.105Z,2020-06-03T01:37:19.126Z,135,17,28
21980,Веб разработка как открыть,2020-06-02T18:08:25.830Z,2020-06-02T23:54:11.492Z,54,0,16
10629,Count Emptiness moveNSteps function problem Solved,2017-02-20T03:42:44.702Z,2020-06-02T21:30:32.163Z,561,2,24
11279,SOLVED: Need to delete account,2017-04-26T14:37:02.247Z,2019-03-13T22:23:17.165Z,1245,3,13
21959,[SOLVED]Timber Guard Python Help,2020-06-01T22:12:26.486Z,2020-06-02T19:25:42.459Z,95,0,24
21930,Alpine rally- please help,2020-05-31T11:08:03.971Z,2020-06-02T18:56:47.537Z,61,0,24
21569,"How to attack enemy.type , help pls",2020-05-14T07:16:52.585Z,2020-06-02T18:26:44.827Z,54,1,16
21963,Game Development 2 Level 7,2020-06-02T01:03:56.460Z,2020-06-02T18:10:32.523Z,37,0,24
6344,Clash of Clones,2016-01-04T17:49:23.620Z,2020-06-02T18:10:08.009Z,1780,0,24
19797,I'm having a hard time with the level logical path in the forest,2019-12-11T03:49:00.027Z,2020-06-02T18:05:15.055Z,115,0,24
18885,Sand Snakes JavaScript Help Needed,2019-07-20T22:03:00.944Z,2020-06-02T17:46:50.112Z,226,4,24
15989,Leave it to Cleaver help? [SOLVED],2018-09-20T15:36:22.731Z,2020-06-02T17:37:25.314Z,1831,8,24
21970,[SOLVED] Class account by mistake,2020-06-02T13:58:18.656Z,2020-06-02T15:12:46.712Z,31,4,6
21877,Blackwoods - level 74 - problem with code,2020-05-28T12:39:11.409Z,2020-06-02T15:05:48.511Z,103,0,24
21945,Drawings! (Any Drawings Allowed),2020-06-01T09:03:40.301Z,2020-06-02T15:05:02.741Z,71,2,28
21961,-while Schleife-,2020-06-02T00:27:42.589Z,2020-06-02T13:25:35.273Z,45,1,20
21969,Can you make a function that works for your allies,2020-06-02T11:59:19.457Z,2020-06-02T11:59:19.517Z,25,0,9
21814,[SOLVED] Need help with Bank Raid,2020-05-26T19:42:10.786Z,2020-06-02T09:45:00.853Z,129,4,24
18064,[Survey] Where did you hear about codecombat?,2019-04-05T09:01:17.952Z,2020-06-02T07:00:21.892Z,1485,59,28
21318,How can you stop your soldiers attacking your summoned Burl?,2020-05-01T00:19:33.357Z,2020-06-02T05:12:02.877Z,77,0,9
21960,[SOLVED] Need help on level 14 Computer science 3,2020-06-01T23:51:14.959Z,2020-06-02T03:09:22.561Z,44,0,24
21906,Mountain of trouble,2020-05-29T21:52:01.437Z,2020-06-02T01:06:31.639Z,109,0,1
20373,Бэквудский лес. Подслеповатый Бурл,2020-02-25T13:54:51.036Z,2020-06-02T00:40:38.575Z,175,0,16
21957,Code Combat: Kelvintaph Glacier: Kelvintaph Defiler,2020-06-01T22:00:01.594Z,2020-06-02T00:37:53.785Z,38,0,24
1179,The Final Kithmaze help,2014-10-11T02:40:16.083Z,2020-06-01T23:36:38.307Z,49771,102,24
21953,Backwood ambush A need help(solved),2020-06-01T15:24:56.587Z,2020-06-01T20:08:07.126Z,50,2,24
21936,Sarven Treasure 4,2020-05-31T15:17:04.291Z,2020-06-01T17:28:40.868Z,84,1,24
21899,What is the final area of code combat?,2020-05-29T16:01:44.767Z,2020-06-01T16:11:07.549Z,55,0,28
21892,Does this discourse have a place to share ideas?,2020-05-29T03:14:27.803Z,2020-06-01T12:56:38.133Z,102,1,28
21946,[SOLVED] Please Help Me on Misty Island Mine,2020-06-01T10:42:11.199Z,2020-06-01T11:27:48.982Z,33,0,24
18103,[SOLVED] Help on Sleepwalker,2019-04-10T18:35:58.307Z,2020-06-01T10:28:24.912Z,214,1,24
19657,Combat Code evo,2019-11-17T22:56:49.597Z,2020-06-01T06:03:40.415Z,135,0,9
20112,Combo Challenge: Forest storm,2020-01-27T17:35:45.989Z,2020-05-31T21:57:34.626Z,247,0,24
21384,Summit Gate BIG PROBLEM! help pleas,2020-05-04T14:34:14.390Z,2020-05-31T19:06:23.169Z,68,0,16
21942,Binary Deployment,2020-05-31T17:10:11.111Z,2020-05-31T19:01:13.876Z,34,0,24
21931,The charming Pugicorn,2020-05-31T12:37:37.555Z,2020-05-31T18:45:47.594Z,40,0,28
19656,"What to save up for, whats good?",2019-11-17T22:33:59.018Z,2020-05-31T18:04:16.730Z,232,0,9
21731,Hunters and prey help plz,2020-05-22T15:34:45.718Z,2020-05-31T15:02:35.064Z,67,2,24
18221,SleepWalkers [HELP],2019-04-22T17:13:47.598Z,2020-05-31T14:46:17.540Z,206,2,24
21860,Reaping Fire - something is wrong with this level,2020-05-27T20:37:26.564Z,2020-05-31T14:41:02.928Z,154,6,24
21933,Sarven Treasure Javascript,2020-05-31T13:35:56.164Z,2020-05-31T14:33:55.232Z,39,0,9
5013,[Idea] Volcano World Name,2015-09-22T21:24:05.727Z,2020-05-31T13:03:41.773Z,6954,49,1
21622,The Equestrian in Code Combat,2020-05-17T10:52:02.938Z,2020-05-31T01:34:03.589Z,86,0,28
19016,"""Leave Clan"" button not working",2019-08-14T15:36:38.436Z,2020-05-30T23:57:01.979Z,675,7,9
21920,Having a little trouble on Twins Power,2020-05-30T15:45:56.175Z,2020-05-30T19:51:02.362Z,42,0,24
15017,Topic for polls,2018-06-20T19:45:28.808Z,2020-05-30T19:21:38.604Z,8547,106,9
21638,Class acc vs. Individual acc,2020-05-18T06:29:32.277Z,2020-05-31T09:16:59.672Z,129,3,28
21916,How to restart all levels at once? Web Development Game,2020-05-30T07:35:25.571Z,2020-05-30T17:25:11.368Z,46,0,9
21642,Mountain Mercenaries Help - Cloudrip Mountain,2020-05-18T15:27:31.166Z,2020-05-30T17:02:45.969Z,104,1,24
10478,Announcement: Pets,2017-02-07T23:40:32.919Z,2020-05-30T15:53:04.671Z,5698,197,1
21817,BEST ARMOR(Based only on damage and health(Also mostly it is about looks))!,2020-05-26T20:06:49.815Z,2020-05-30T12:06:50.175Z,169,0,28
21902,Suggestion. About making codecombat a smoother experience for students,2020-05-29T18:19:44.786Z,2020-05-29T19:49:14.000Z,42,0,27
21815,Red amour challenge!,2020-05-26T19:44:45.821Z,2020-05-29T18:49:23.173Z,65,0,28
21557,Summit gate! HELP!,2020-05-13T17:33:00.539Z,2020-05-29T18:47:31.756Z,294,0,24
18548,[SOLVED] Challenge : The One Wizard,2019-06-02T07:23:08.271Z,2020-05-29T18:41:23.008Z,777,1,24
21887,Bug in Kelvintaph Crusader,2020-05-28T18:14:26.733Z,2020-05-29T18:40:35.318Z,61,0,7
21898,[SOLVED] Is there a bug in ogre gorge gouger?,2020-05-29T14:39:42.214Z,2020-05-29T18:19:08.675Z,78,1,24
21872,ЗигЗаг и взлет: принцип работы,2020-05-28T07:06:03.318Z,2020-05-29T18:07:41.127Z,48,0,16
21894,"Difference between moveXY and hero.move({x: 15, y: 37});",2020-05-29T11:12:29.248Z,2020-05-29T18:05:59.559Z,45,0,9
21873,[SOLVED] Hunter Valley-(Please Help),2020-05-28T08:17:10.682Z,2020-05-29T18:02:26.091Z,62,1,24
21886,Mountain mercenaries debugging help,2020-05-28T17:36:40.574Z,2020-05-29T17:55:17.231Z,52,0,24
4057,Bought the wrong item... need a refund if possible,2015-05-28T17:21:35.043Z,2020-05-29T17:38:06.440Z,1807,0,7
21840,"Kelvintaph Burgler, hero dies right away!",2020-05-27T12:44:30.308Z,2020-05-29T12:07:01.206Z,192,2,24
21816,Wackiest Armor challenge!,2020-05-26T19:58:14.064Z,2020-05-29T11:44:54.783Z,77,0,28
21418,Control Enemy PVP bug (Dueling Grounds),2020-05-05T20:39:31.707Z,2020-05-29T11:32:36.235Z,147,1,7
7432,Best things to buy for Newbie,2016-05-04T03:57:17.925Z,2020-05-29T02:51:16.789Z,1313,2,28
21889,Ritic is not death,2020-05-28T20:53:34.067Z,2020-05-28T22:52:29.703Z,53,1,28
21883,Trouble on level 21 game development 2 Berserker,2020-05-28T16:37:53.586Z,2020-05-28T21:59:11.725Z,45,0,24
7963,"Python Help on ""Fair Battle""",2016-06-09T15:43:32.616Z,2020-05-28T15:47:54.435Z,3069,3,24
21874,ThunderHooves Flag Bug (Dynamic),2020-05-28T08:46:30.521Z,2020-05-28T14:40:24.706Z,53,1,7
19965,2019 Year Review Discussion,2020-01-08T07:03:19.418Z,2020-05-28T03:50:00.622Z,198,9,27
21519,HELP Kelvintaph Crusader,2020-05-11T18:24:24.365Z,2020-05-28T01:01:07.998Z,333,1,24
21725,Best stuff to buy under 4000 gems,2020-05-22T01:26:37.453Z,2020-05-27T21:36:57.851Z,143,1,28
21850,Ice hunter - algorithm explanation,2020-05-27T16:16:14.919Z,2020-05-27T19:47:50.464Z,44,7,24
21853,Coolest armor challenge,2020-05-27T17:32:37.780Z,2020-05-27T17:32:37.857Z,38,0,28
21842,Help on Gridmancer Redux,2020-05-27T14:33:54.477Z,2020-05-27T14:58:11.925Z,41,1,24
18052,Can someone tell me what is this error? Codecombat,2019-04-03T07:41:14.521Z,2020-05-27T14:42:00.784Z,923,3,24
16552,[SOLVED] Toil and trouble....certainly toil for me!,2018-11-26T14:00:02.838Z,2020-05-26T16:40:33.974Z,797,8,24
11121,"Проблемы с уровнем ""обычный день""",2017-04-07T11:48:39.795Z,2020-05-27T12:52:05.702Z,1669,1,16
21807,[SOLVED] CodeCombat Sarven Gaps (Need Help),2020-05-26T03:19:43.461Z,2020-05-27T11:50:57.001Z,71,0,24
21676,Can You Give A Share A Subscription With Another Family Member?,2020-05-19T19:44:24.614Z,2020-05-26T20:34:44.711Z,130,0,27
21391,Happy Sinko de Mayo!,2020-05-04T21:04:26.979Z,2020-05-05T14:15:21.505Z,88,5,28
20516,[Survey] Yes or no to mayo?,2020-03-16T23:06:49.460Z,2020-03-17T11:06:28.442Z,127,5,28
21449,Help with Mad Maxer Code,2020-05-06T22:46:32.914Z,2020-05-26T18:32:43.067Z,219,4,24
21372,Big Brother (Me) Vs Little Brother (Art),2020-05-03T22:29:42.978Z,2020-05-26T18:09:19.130Z,109,4,28
21806,I need help with the usual day level,2020-05-26T01:20:22.720Z,2020-05-26T18:08:04.805Z,66,1,24
21794,Brown Noise how to kill,2020-05-25T14:20:22.549Z,2020-05-26T17:39:39.353Z,109,2,16
20728,And so it begins again! (SPOILER),2020-03-30T15:59:37.259Z,2020-05-26T17:36:50.065Z,257,2,28
21796,Wheres the end of cloudyrip mountain,2020-05-25T16:27:39.378Z,2020-05-26T16:38:17.652Z,67,1,24
20616,Level help please on Backwoods Standoff python,2020-03-23T19:50:54.647Z,2020-05-26T16:04:03.866Z,178,3,24
14248,"Code Combat Chat? (discord, telegram, steam, etc...)",2018-03-24T02:14:46.741Z,2020-05-26T15:29:38.017Z,583,3,28
21604,Clash of Clones - I couldn't beat it!,2020-05-16T02:01:06.625Z,2020-05-26T14:54:52.759Z,166,1,24
21606,[SOLVED] Level hedge magic,2020-05-16T12:29:31.829Z,2020-05-26T14:53:11.744Z,92,16,24
21805,Dungeons of Kithgard is locked for students,2020-05-26T01:14:36.270Z,2020-05-26T14:21:38.159Z,42,0,13
21783,Защита крестьянина 2020,2020-05-24T11:26:27.788Z,2020-05-26T14:20:48.549Z,71,0,16
21163,The Memes Topic,2020-04-23T04:42:52.414Z,2020-05-26T12:48:53.847Z,451,55,28
4573,Reset progress. A fresh start,2015-07-26T19:35:55.668Z,2020-05-26T10:33:40.955Z,2959,0,9
16103,Noch deutschsprachige anwesend?,2018-10-04T14:54:34.912Z,2020-05-26T10:19:01.635Z,926,0,20
4032,Presentation slides and curricular materials for code combat,2015-05-26T01:56:25.348Z,2020-05-26T01:17:40.538Z,12159,76,13
21801,"[ SOLVED ] Bug in ""Identification, Please""",2020-05-25T19:56:00.827Z,2020-05-25T21:33:03.244Z,86,4,24
21785,"Game Development 2 Level 27 ""Game Of Coins Step 3: Enemies""",2020-05-24T18:48:45.433Z,2020-05-25T21:25:46.105Z,64,3,24
21777,Changing the equipment as red,2020-05-24T07:40:25.804Z,2020-05-25T20:20:13.325Z,68,0,6
21699,Tips for Newbies,2020-05-20T23:14:06.110Z,2020-05-25T20:14:11.997Z,131,3,28
21456,Is hero level 37 possible (free to play),2020-05-07T14:38:08.970Z,2020-05-25T19:00:14.291Z,286,6,28
18865,Hero has no method attack,2019-07-16T10:34:49.649Z,2020-05-25T16:32:29.656Z,205,0,24
1326,Level: Ogre Encampment,2014-11-12T20:18:05.329Z,2020-05-25T14:27:10.471Z,13991,6,1
18358,Tabula Rasa Collection help! I cannot accurately track the gems,2019-05-05T19:53:56.045Z,2020-05-25T11:57:59.831Z,718,9,24
18721,[SOLVED] Found level 66 item,2019-06-22T01:22:42.334Z,2020-05-25T03:00:47.123Z,529,7,6
3426,Polish translation POL-ENG-POL?,2015-04-07T07:05:00.021Z,2020-05-24T09:17:36.975Z,1325,5,5
21246,Helping those new to the game,2020-04-27T23:04:34.436Z,2020-05-24T08:17:12.324Z,123,1,24
11338,[SOLVED] Python Blind Distance,2017-05-04T15:34:28.326Z,2020-05-24T06:51:09.445Z,5935,20,24
12307,"Запинается на последнем в ""полезные конкуренты""",2017-08-29T14:37:01.228Z,2020-05-23T21:25:05.492Z,1022,0,16
20041,[SOLVED] Twisted Canyon - ruins,2020-01-18T15:52:52.721Z,2020-05-23T15:46:20.369Z,453,1,24
18918,Summits gate help please,2019-07-27T16:02:17.584Z,2020-05-23T10:10:19.194Z,722,4,24
21727,Help i dont know wat i did wrong,2020-05-22T03:33:13.754Z,2020-05-23T12:52:44.581Z,69,0,24
21729,"Coded Orders, Kelvintaph Glacier, CODE COMBAT, JavaScript",2020-05-22T11:17:26.433Z,2020-05-23T10:36:38.787Z,115,0,24
18475,Clash Of Clones Python Help Please,2019-05-21T21:13:16.206Z,2020-05-23T00:18:24.970Z,909,2,24
21683,[SOLVED] Forest Cannon Dancing JS,2020-05-20T03:18:00.538Z,2020-05-23T00:11:22.638Z,168,0,24
18743,Having trouble on the final kithmaze on kithgard dungeon,2019-06-25T22:19:43.013Z,2020-05-22T19:23:46.040Z,297,3,24
21243,I am a CodeCombat noob please help,2020-04-27T21:33:51.183Z,2020-05-22T19:15:25.766Z,188,2,24
21726,Library tactician (java script),2020-05-22T02:55:26.386Z,2020-05-22T19:14:44.679Z,69,3,24
17071,Mad maxer please help! [SOLVED],2019-01-11T03:34:38.419Z,2020-05-22T14:31:05.097Z,552,1,24
7162,Grim Determination,2016-04-01T11:40:17.532Z,2020-05-22T12:07:24.051Z,2865,2,24
18718,Don't Rush Be Quiet (Javascript),2019-06-21T11:32:38.060Z,2020-05-22T00:54:17.317Z,194,4,24
16336,Clash of clones i cant defeat it [SOLVED],2018-11-01T05:48:07.211Z,2020-05-21T22:44:36.471Z,1434,4,8
4409,Help in Clash of Clones (Javascript),2015-07-06T01:01:29.676Z,2015-07-07T23:52:50.817Z,3091,4,9
19004,Yet Another Dueling Grounds Difficulty: Shield Appears to not Work,2019-08-13T17:42:38.418Z,2020-05-21T22:29:57.417Z,765,4,24
19163,Help on Hunters and Prey,2019-09-07T15:23:44.220Z,2020-05-21T20:24:42.861Z,647,2,24
19778,Chest not working in Munchkin Swarm,2019-12-08T21:51:30.269Z,2020-05-21T20:21:45.839Z,129,0,24
19015,Need help at cubic minefield,2019-08-14T13:59:34.323Z,2020-05-21T20:18:52.873Z,638,0,24
20865,"""The one wizard"" code never finishes",2020-04-07T22:29:34.812Z,2020-05-21T20:18:20.488Z,66,1,24
19801,Question: What's the purpose of drawing parts?,2019-12-11T18:27:40.583Z,2020-05-21T20:16:03.443Z,108,0,24
18816,Clash of Clones yak trouble,2019-07-09T22:00:00.547Z,2020-05-21T20:14:09.267Z,304,0,24
20005,Help with Siege of Stonehold (JavaScript),2020-01-14T02:57:00.879Z,2020-05-21T20:11:41.163Z,151,1,24
19527,Please help summit's gate!,2019-11-04T11:59:22.192Z,2020-05-21T20:08:05.620Z,191,3,24
21719,Health point to pass Munchkin Harvest{solved},2020-05-21T14:32:14.230Z,2020-05-21T19:29:08.734Z,83,5,24
21689,The Trials help me,2020-05-20T16:21:09.186Z,2020-05-21T16:10:22.808Z,110,2,24
2977,[SOLVED] Clash of Clones - Is it possible to win?,2015-03-06T08:23:51.070Z,2020-05-21T15:14:38.158Z,23397,86,24
21703,Loop holes in cloudrip mountain python main levs,2020-05-21T03:05:50.963Z,2020-05-21T14:23:25.655Z,65,1,7
21714,Hmmmm why didnt that work again,2020-05-21T12:03:18.566Z,2020-05-21T12:39:22.699Z,54,1,24
20554,I need help on woodland leaver,2020-03-20T14:28:51.939Z,2020-05-21T12:09:57.489Z,85,0,24
18969,Lag is too heavy!,2019-08-08T07:03:51.963Z,2020-05-21T11:37:32.285Z,158,0,7
2085,Decoy Drill: help,2014-12-25T16:40:11.404Z,2020-05-21T05:12:07.671Z,11324,3,1
15505,[Solved] Clash of clones python,2018-08-12T11:17:39.504Z,2020-05-20T19:11:23.197Z,3548,1,8
19520,If you have any tips for my set up notify me,2019-11-03T16:42:29.664Z,2020-05-21T01:48:32.940Z,147,4,1
21672,[Unsolved] Clash of Clones,2020-05-19T16:33:08.304Z,2020-05-20T22:51:19.740Z,142,2,24
10624,"[Solved]Steelclaw Gap [Very lost, help wanted]",2017-02-19T21:08:28.996Z,2020-05-20T17:29:23.697Z,1818,16,9
21682,I need help with Shine Getter,2020-05-20T02:35:15.352Z,2020-05-20T15:58:18.672Z,65,1,24
21685,The output from console.log,2020-05-20T10:00:45.519Z,2020-05-20T15:01:50.713Z,42,2,9
14542,[SOLVED] Desert: Lurkers (Python),2018-04-24T14:31:06.447Z,2020-05-20T14:51:25.612Z,903,2,24
